Question,Answer,Intent
"شنو الفرق بين الذكاء والحوسبة؟","الذكاء يحلل ويتعلم من البيانات، والحوسبة توفر الوصول للتقنية عبر الأجهزة المحمولة.","AI_Mobile"
"شنو الفرق بين الحوسبة والذكاء؟","الذكاء يحلل ويتعلم من البيانات، والحوسبة توفر الوصول للتقنية عبر الأجهزة المحمولة.","AI_Mobile"
"شنو الفرق بين الذكاء والتصميم؟","الذكاء يتخذ القرارات البرمجية، والتصميم يصمم مظهر النظام وتجربة المستخدم.","AI_Design"
"شنو الفرق بين التصميم والذكاء؟","الذكاء يتخذ القرارات البرمجية، والتصميم يصمم مظهر النظام وتجربة المستخدم.","AI_Design"
"شنو الفرق بين الذكاء والعمارة؟","الذكاء يبني عقول رقمية برمجية، والعمارة تبني بيوت ومباني واقعية.","AI_Arch"
"شنو الفرق بين العمارة والذكاء؟","الذكاء يبني عقول رقمية برمجية، والعمارة تبني بيوت ومباني واقعية.","AI_Arch"
"شنو الفرق بين الحوسبة والتصميم؟","الحوسبة تهتم بتشغيل الأنظمة المحمولة، والتصميم يهتم بالأشكال والواجهات الرقمية.","Mobile_Design"
"شنو الفرق بين التصميم والحوسبة؟","الحوسبة تهتم بتشغيل الأنظمة المحمولة، والتصميم يهتم بالأشكال والواجهات الرقمية.","Mobile_Design"
"شنو الفرق بين الحوسبة والعمارة؟","الحوسبة المتنقلة تعمل بالعالم الرقمي، والعمارة تعمل في الهندسة والبناء الواقعي.","Mobile_Arch"
"شنو الفرق بين العمارة والحوسبة؟","الحوسبة المتنقلة تعمل بالعالم الرقمي، والعمارة تعمل في الهندسة والبناء الواقعي.","Mobile_Arch"
"شنو الفرق بين التصميم والعمارة؟","التصميم الرقمي يكون على الشاشات، والعمارة تكون على أرض الواقع.","Design_Arch"
"شنو الفرق بين العمارة والتصميم؟","التصميم الرقمي يكون على الشاشات، والعمارة تكون على أرض الواقع.","Design_Arch"

"شنو الفرق بين الأمن السيبراني والذكاء الاصطناعي؟","الأمن السيبراني يحمي الأنظمة من الاختراق، والذكاء الاصطناعي يجعل الأنظمة تفكر وتتعلم.","Intent_Cyber_AI"
"شنو الفرق بين الذكاء الاصطناعي والأمن السيبراني؟","الأمن السيبراني يحمي الأنظمة من الاختراق، والذكاء الاصطناعي يجعل الأنظمة تفكر وتتعلم.","Intent_Cyber_AI"
"شنو الفرق بين الأمن السيبراني والحوسبة المتنقلة؟","الأمن السيبراني يحمي البيانات، والحوسبة المتنقلة تسمح باستخدامها بأي مكان.","Intent_Cyber_Mobile"
"شنو الفرق بين الحوسبة المتنقلة والأمن السيبراني؟","الأمن السيبراني يحمي البيانات، والحوسبة المتنقلة تسمح باستخدامها بأي مكان.","Intent_Cyber_Mobile"
"شنو الفرق بين الأمن السيبراني والتصميم الرقمي؟","الأمن السيبراني يهتم بالحماية، والتصميم الرقمي يهتم بالشكل والجمال.","Intent_Cyber_Design"
"شنو الفرق بين التصميم الرقمي والأمن السيبراني؟","الأمن السيبراني يهتم بالحماية، والتصميم الرقمي يهتم بالشكل والجمال.","Intent_Cyber_Design"
"شنو الفرق بين الأمن السيبراني والعمارة؟","الأمن السيبراني يحمي أنظمة رقمية، والعمارة تبني مباني حقيقية.","Intent_Cyber_Arch"
"شنو الفرق بين العمارة والأمن السيبراني؟","الأمن السيبراني يحمي أنظمة رقمية، والعمارة تبني مباني حقيقية.","Intent_Cyber_Arch"
"شنو الفرق بين الذكاء الاصطناعي والحوسبة المتنقلة؟","الذكاء الاصطناعي يحلل ويتعلم، والحوسبة المتنقلة تنقل التقنية للجيب.","Intent_AI_Mobile"
"شنو الفرق بين الحوسبة المتنقلة والذكاء الاصطناعي؟","الذكاء الاصطناعي يحلل ويتعلم، والحوسبة المتنقلة تنقل التقنية للجيب.","Intent_AI_Mobile"
"شنو الفرق بين الذكاء الاصطناعي والتصميم الرقمي؟","الذكاء الاصطناعي يفكر، والتصميم الرقمي يرسم ويصمم.","Intent_AI_Design"
"شنو الفرق بين التصميم الرقمي والذكاء الاصطناعي؟","الذكاء الاصطناعي يفكر، والتصميم الرقمي يرسم ويصمم.","Intent_AI_Design"
"شنو الفرق بين الذكاء الاصطناعي والعمارة؟","الذكاء الاصطناعي يبني عقول رقمية، والعمارة تبني بيوت ومباني.","Intent_AI_Arch"
"شنو الفرق بين العمارة والذكاء الاصطناعي؟","الذكاء الاصطناعي يبني عقول رقمية، والعمارة تبني بيوت ومباني.","Intent_AI_Arch"
"شنو الفرق بين الحوسبة المتنقلة والتصميم الرقمي؟","الحوسبة المتنقلة تهتم بالأجهزة المحمولة، والتصميم الرقمي يهتم بالواجهات والأشكال.","Intent_Mobile_Design"
"شنو الفرق بين التصميم الرقمي والحوسبة المتنقلة؟","الحوسبة المتنقلة تهتم بالأجهزة المحمولة، والتصميم الرقمي يهتم بالواجهات والأشكال.","Intent_Mobile_Design"
"شنو الفرق بين الحوسبة المتنقلة والعمارة؟","الحوسبة المتنقلة تعمل بالعالم الرقمي، والعمارة تعمل بالعالم الواقعي.","Intent_Mobile_Arch"
"شنو الفرق بين العمارة والحوسبة المتنقلة؟","الحوسبة المتنقلة تعمل بالعالم الرقمي، والعمارة تعمل بالعالم الواقعي.","Intent_Mobile_Arch"
"شنو الفرق بين التصميم الرقمي والعمارة؟","التصميم الرقمي يصمم على الشاشة، والعمارة تنفذ على الأرض.","Intent_Design_Arch"
"شنو الفرق بين العمارة والتصميم الرقمي؟","التصميم الرقمي يصمم على الشاشة، والعمارة تنفذ على الأرض.","Intent_Design_Arch"
"شنو الفرق بين الأمن السيبراني والذكاء الاصطناعي من حيث الهدف؟","الأمن هدفه الحماية، والذكاء هدفه الذكاء والتعلم.","Intent_Cyber_AI_Goal"
"شنو الفرق بين الذكاء الاصطناعي والأمن السيبراني من حيث الهدف؟","الأمن هدفه الحماية، والذكاء هدفه الذكاء والتعلم.","Intent_Cyber_AI_Goal"
"شنو الفرق بين الذكاء الاصطناعي والحوسبة المتنقلة من حيث الاستخدام؟","الذكاء يستخدم للتحليل، والحوسبة تستخدم للتنقل والوصول السريع.","Intent_AI_Mobile_Use"
"شنو الفرق بين الحوسبة المتنقلة والذكاء الاصطناعي من حيث الاستخدام؟","الذكاء يستخدم للتحليل، والحوسبة تستخدم للتنقل والوصول السريع.","Intent_AI_Mobile_Use"
"شنو الفرق بين الأمن السيبراني والعمارة من حيث السلامة؟","الأمن يحمي الأنظمة، والعمارة تحمي الأرواح بالمباني الآمنة.","Intent_Cyber_Arch_Safety"
"شنو الفرق بين العمارة والأمن السيبراني من حيث السلامة؟","الأمن يحمي الأنظمة، والعمارة تحمي الأرواح بالمباني الآمنة.","Intent_Cyber_Arch_Safety"

"شنو الفرق بين الأمن السيبراني والذكاء الاصطناعي؟","الأمن السيبراني يحمي الأنظمة من الاختراق، والذكاء الاصطناعي يجعل الأنظمة تفكر وتتعلم.","Department_Definition"
"شنو الفرق بين الذكاء الاصطناعي والأمن السيبراني؟","الأمن السيبراني يحمي الأنظمة من الاختراق، والذكاء الاصطناعي يجعل الأنظمة تفكر وتتعلم.","Department_Definition"
"شنو الفرق بين الأمن السيبراني والحوسبة المتنقلة؟","الأمن السيبراني يحمي البيانات، والحوسبة المتنقلة تسمح باستخدامها بأي مكان.","Department_Definition"
"شنو الفرق بين الحوسبة المتنقلة والأمن السيبراني؟","الأمن السيبراني يحمي البيانات، والحوسبة المتنقلة تسمح باستخدامها بأي مكان.","Department_Definition"
"شنو الفرق بين الأمن السيبراني والتصميم الرقمي؟","الأمن السيبراني يهتم بالحماية، والتصميم الرقمي يهتم بالشكل والجمال.","Department_Definition"
"شنو الفرق بين التصميم الرقمي والأمن السيبراني؟","الأمن السيبراني يهتم بالحماية، والتصميم الرقمي يهتم بالشكل والجمال.","Department_Definition"
"شنو الفرق بين الأمن السيبراني والعمارة؟","الأمن السيبراني يحمي أنظمة رقمية، والعمارة تبني مباني حقيقية.","Department_Definition"
"شنو الفرق بين العمارة والأمن السيبراني؟","الأمن السيبراني يحمي أنظمة رقمية، والعمارة تبني مباني حقيقية.","Department_Definition"
"شنو الفرق بين الذكاء الاصطناعي والحوسبة المتنقلة؟","الذكاء الاصطناعي يحلل ويتعلم، والحوسبة المتنقلة تنقل التقنية للجيب.","Department_Definition"
"شنو الفرق بين الحوسبة المتنقلة والذكاء الاصطناعي؟","الذكاء الاصطناعي يحلل ويتعلم، والحوسبة المتنقلة تنقل التقنية للجيب.","Department_Definition"
"شنو الفرق بين الذكاء الاصطناعي والتصميم الرقمي؟","الذكاء الاصطناعي يفكر، والتصميم الرقمي يرسم ويصمم.","Department_Definition"
"شنو الفرق بين التصميم الرقمي والذكاء الاصطناعي؟","الذكاء الاصطناعي يفكر، والتصميم الرقمي يرسم ويصمم.","Department_Definition"
"شنو الفرق بين الذكاء الاصطناعي والعمارة؟","الذكاء الاصطناعي يبني عقول رقمية، والعمارة تبني بيوت ومباني.","Department_Definition"
"شنو الفرق بين العمارة والذكاء الاصطناعي؟","الذكاء الاصطناعي يبني عقول رقمية، والعمارة تبني بيوت ومباني.","Department_Definition"
"شنو الفرق بين الحوسبة المتنقلة والتصميم الرقمي؟","الحوسبة المتنقلة تهتم بالأجهزة المحمولة، والتصميم الرقمي يهتم بالواجهات والأشكال.","Department_Definition"
"شنو الفرق بين التصميم الرقمي والحوسبة المتنقلة؟","الحوسبة المتنقلة تهتم بالأجهزة المحمولة، والتصميم الرقمي يهتم بالواجهات والأشكال.","Department_Definition"
"شنو الفرق بين الحوسبة المتنقلة والعمارة؟","الحوسبة المتنقلة تعمل بالعالم الرقمي، والعمارة تعمل بالعالم الواقعي.","Department_Definition"
"شنو الفرق بين العمارة والحوسبة المتنقلة؟","الحوسبة المتنقلة تعمل بالعالم الرقمي، والعمارة تعمل بالعالم الواقعي.","Department_Definition"
"شنو الفرق بين التصميم الرقمي والعمارة؟","التصميم الرقمي يصمم على الشاشة، والعمارة تنفذ على الأرض.","Department_Definition"
"شنو الفرق بين العمارة والتصميم الرقمي؟","التصميم الرقمي يصمم على الشاشة، والعمارة تنفذ على الأرض.","Department_Definition"
"شنو الفرق بين الأمن السيبراني والذكاء الاصطناعي من حيث الهدف؟","الأمن هدفه الحماية، والذكاء هدفه الذكاء والتعلم.","Department_Definition"
"شنو الفرق بين الذكاء الاصطناعي والأمن السيبراني من حيث الهدف؟","الأمن هدفه الحماية، والذكاء هدفه الذكاء والتعلم.","Department_Definition"
"شنو الفرق بين الذكاء الاصطناعي والحوسبة المتنقلة من حيث الاستخدام؟","الذكاء يستخدم للتحليل، والحوسبة تستخدم للتنقل والوصول السريع.","Department_Definition"
"شنو الفرق بين الحوسبة المتنقلة والذكاء الاصطناعي من حيث الاستخدام؟","الذكاء يستخدم للتحليل، والحوسبة تستخدم للتنقل والوصول السريع.","Department_Definition"
"شنو الفرق بين الأمن السيبراني والعمارة من حيث السلامة؟","الأمن يحمي الأنظمة، والعمارة تحمي الأرواح بالمباني الآمنة.","Department_Definition"
"شنو الفرق بين العمارة والأمن السيبراني من حيث السلامة؟","الأمن يحمي الأنظمة، والعمارة تحمي الأرواح بالمباني الآمنة.","Department_Definition"

شنو المهارات اللي راح أكتسبها في الذكاء الاصطناعي؟,"برمجة، تعلم الآلة، تحليل البيانات، حل المشكلات، التفكير التحليلي",Key_Courses
شنو يميز قسم الذكاء الاصطناعي؟,"يعتمد على تحليل البيانات وتطوير الأنظمة الذكية",Department_Definition
هل الذكاء الاصطناعي صعب؟,"يحتاج جهد لكن ممتع ومجاله واسع",Department_Definition
شنو المواد الرئيسية في الذكاء الاصطناعي؟,"تعلم آلة، شبكات عصبية، بايثون، تحليل بيانات",Key_Courses
شنو وظائف خريج الذكاء الاصطناعي؟,"مبرمج نظم ذكية، محلل بيانات، مطور تطبيقات ذكية",Simple_Example
شنو الهوايات المناسبة للذكاء الاصطناعي؟,"البرمجة، حل الألغاز، الرياضيات",Suitable_Hobbies
هل الذكاء الاصطناعي يحتاج رياضيات؟,"نعم بشكل أساسي",Department_Definition
كم سنة دراسة الذكاء الاصطناعي؟,"مدة الدراسة 4 سنوات",Study_Duration_Years
شكد أقل معدل للذكاء الاصطناعي؟,"61",Min_GPA
شنو مستقبل الذكاء الاصطناعي؟,"مستقبل واعد ومطلوب عالمياً",Department_Definition
شنو المهارات اللي راح أكتسبها في الأمن السيبراني؟,"حماية الشبكات، تحليل الهجمات، أمن المعلومات",Key_Courses
شنو يميز قسم الأمن السيبراني؟,"يحمي الأنظمة من الاختراق",Department_Definition
هل الأمن السيبراني صعب؟,"يحتاج تركيز وممارسة عملية",Department_Definition
شنو وظائف خريج الأمن السيبراني؟,"محلل أمن، مسؤول شبكات، مختبر اختراق",Simple_Example
شنو الهوايات المناسبة للأمن السيبراني؟,"الألعاب الاستراتيجية، البرمجة، التفكير التحليلي",Suitable_Hobbies
هل الأمن السيبراني يحتاج برمجة؟,"نعم بشكل أساسي",Department_Definition
كم سنة دراسة الأمن السيبراني؟,"مدة الدراسة 4 سنوات",Study_Duration_Years
شكد أقل معدل للأمن السيبراني؟,"61",Min_GPA
شنو مستقبل الأمن السيبراني؟,"طلب عالي في سوق العمل",Department_Definition
شنو المهارات اللي راح أكتسبها في هندسة العمارة؟,"تصميم معماري، رسم هندسي، تخطيط المشاريع",Key_Courses
شنو يميز قسم العمارة؟,"يركز على التصميم والبناء",Department_Definition
هل العمارة صعبة؟,"تحتاج إبداع وصبر",Department_Definition
شنو وظائف خريج العمارة؟,"مهندس معماري، مصمم مشاريع",Simple_Example
شنو الهوايات المناسبة للعمارة؟,"الرسم، التصميم، التخطيط",Suitable_Hobbies
هل العمارة تحتاج رسم؟,"نعم بشكل كبير",Department_Definition
كم سنة دراسة العمارة؟,"مدة الدراسة 5 سنوات",Study_Duration_Years
شكد أقل معدل للعمارة؟,"69",Min_GPA
شنو مستقبل العمارة؟,"مطلوبة في مشاريع البناء",Department_Definition
شنو المهارات اللي راح أكتسبها في الحوسبة المتنقلة؟,"برمجة تطبيقات، تصميم واجهات، قواعد بيانات",Key_Courses
شنو يميز الحوسبة المتنقلة؟,"تطوير تطبيقات الهواتف الذكية",Department_Definition
هل الحوسبة المتنقلة صعبة؟,"ممتعة وتحتاج تدريب عملي",Department_Definition
شنو وظائف خريج الحوسبة المتنقلة؟,"مطور تطبيقات، مبرمج موبايل",Simple_Example
شنو الهوايات المناسبة للحوسبة المتنقلة؟,"البرمجة، تجربة التطبيقات",Suitable_Hobbies
هل الحوسبة المتنقلة تحتاج برمجة؟,"نعم بشكل أساسي",Department_Definition
كم سنة دراسة الحوسبة المتنقلة؟,"4 سنوات",Study_Duration_Years
شكد أقل معدل للحوسبة المتنقلة؟,"61",Min_GPA
شنو المهارات اللي راح أكتسبها في التصميم الرقمي؟,"تصميم واجهات، تجربة مستخدم، رسومات رقمية",Key_Courses
شنو يميز التصميم الرقمي؟,"يركز على الجمال وتجربة المستخدم",Department_Definition
هل التصميم الرقمي صعب؟,"يحتاج ذوق فني وتدريب",Department_Definition
شنو وظائف خريج التصميم الرقمي؟,"مصمم UI/UX، مصمم مواقع",Simple_Example
شنو الهوايات المناسبة للتصميم الرقمي؟,"الرسم الرقمي، الإبداع",Suitable_Hobbies
هل التصميم الرقمي يحتاج رسم؟,"نعم",Department_Definition
كم سنة دراسة التصميم الرقمي؟,"4 سنوات",Study_Duration_Years
شكد أقل معدل للتصميم الرقمي؟,"61",Min_GPA

شنو الفرق بين الذكاء الاصطناعي والأمن السيبراني؟,"الأول لتطوير أنظمة ذكية والثاني لحماية الأنظمة",Department_Definition
شنو الفرق بين العمارة والتصميم الرقمي؟,"العمارة للبناء والتصميم الرقمي للواجهات الرقمية",Department_Definition
أي قسم يحتاج برمجة أكثر؟,"الذكاء الاصطناعي والحوسبة المتنقلة",Key_Courses
أي قسم عملي أكثر؟,"العمارة والتصميم الرقمي",Study_Type
أي قسم مناسب لمحبي الرياضيات؟,"الذكاء الاصطناعي والأمن السيبراني",Suitable_Hobbies
أي قسم مناسب لمحبي الرسم؟,"العمارة والتصميم الرقمي",Suitable_Hobbies

شكد القسط إذا معدلي 90 في العمارة؟,"القسط 3 مليون لأن المعدل أعلى من 85",Fee_Above_85
شكد القسط إذا معدلي 70 في العمارة؟,"القسط 3.5 مليون لأن المعدل أقل من 85",Fee_Below_85
شكد القسط إذا معدلي 90 في الذكاء الاصطناعي؟,"القسط 3 مليون",Fee_Above_85
شكد القسط إذا معدلي 70 في الذكاء الاصطناعي؟,"القسط 3.5 مليون",Fee_Below_85
شكد القسط إذا معدلي 90 في الأمن السيبراني؟,"القسط 3 مليون",Fee_Above_85
شكد القسط إذا معدلي 70 في الأمن السيبراني؟,"القسط 3.5 مليون",Fee_Below_85
شكد القسط إذا معدلي 90 في التصميم الرقمي؟,"القسط 3 مليون",Fee_Above_85
شكد القسط إذا معدلي 70 في التصميم الرقمي؟,"القسط 3.5 مليون",Fee_Below_85
شكد القسط إذا معدلي 90 في الحوسبة المتنقلة؟,"القسط 3 مليون",Fee_Above_85
شكد القسط إذا معدلي 70 في الحوسبة المتنقلة؟,"القسط 3.5 مليون",Fee_Below_85
هل أقدر أشتغل وأنا أدرس الذكاء الاصطناعي؟,"نعم يمكن العمل الجزئي في البرمجة أو التدريب",Student_Role
هل أقدر أشتغل وأنا أدرس الأمن السيبراني؟,"نعم في مجالات الدعم الفني والشبكات",Student_Role
هل أقدر أشتغل وأنا أدرس العمارة؟,"نعم في مكاتب التصميم والتدريب الميداني",Student_Role
هل أقدر أشتغل وأنا أدرس التصميم الرقمي؟,"نعم في التصميم الحر والعمل عن بعد",Student_Role
هل أقدر أشتغل وأنا أدرس الحوسبة المتنقلة؟,"نعم كمطور تطبيقات مستقل",Student_Role

هل الذكاء الاصطناعي مناسب للبنات؟,"نعم مناسب جداً ولا فرق بين الجنسين",Department_Definition
هل الأمن السيبراني مناسب للبنات؟,"نعم المجال مفتوح للجميع",Department_Definition
هل العمارة مناسبة للبنات؟,"نعم وبها فرص واسعة",Department_Definition
هل التصميم الرقمي مناسب للبنات؟,"نعم مجال إبداعي ومفتوح",Department_Definition
هل الحوسبة المتنقلة مناسبة للبنات؟,"نعم وبفرص كبيرة",Department_Definition

هل أقسام الكلية كلها تحتاج إنكليزي؟,"نعم اللغة الإنكليزية مهمة في كل الأقسام",Department_Definition
هل أحتاج لابتوب قوي للدراسة؟,"يفضل لبرمجة وتصميم أفضل",Department_Definition
هل الدراسة كلها عملي؟,"فيها عملي ونظري حسب القسم",Study_Type
هل أقدر أغيّر قسمي بعد القبول؟,"حسب قوانين الكلية",Department_Definition

أي قسم أسهل من حيث الدراسة؟,"يعتمد على ميول الطالب وقدراته",Department_Definition
أي قسم أصعب؟,"لا يوجد قسم أصعب مطلقاً، يعتمد على الطالب",Department_Definition
أي قسم فرصه الوظيفية أعلى؟,"الذكاء الاصطناعي والأمن السيبراني حالياً",Department_Definition

هل العمارة تحتاج جهد بدني؟,"نعم في التدريب الميداني",Department_Definition
هل التصميم الرقمي يحتاج خيال؟,"نعم بشكل كبير",Department_Definition
هل الحوسبة المتنقلة تحتاج تفكير منطقي؟,"نعم في بناء التطبيقات",Department_Definition
هل الأمن السيبراني يحتاج صبر؟,"نعم بسبب تحليل المشاكل",Department_Definition

هل أقدر أكمل ماجستير بعد الذكاء الاصطناعي؟,"نعم في الذكاء الاصطناعي أو علوم البيانات",Department_Definition
هل أقدر أكمل ماجستير بعد الأمن السيبراني؟,"نعم في أمن المعلومات والشبكات",Department_Definition
هل أقدر أكمل ماجستير بعد العمارة؟,"نعم في العمارة أو التخطيط الحضري",Department_Definition
هل أقدر أكمل ماجستير بعد التصميم الرقمي؟,"نعم في التصميم أو الوسائط الرقمية",Department_Definition

هل الذكاء الاصطناعي يحتاج حفظ؟,"أكثره فهم وتطبيق",Department_Definition
هل العمارة تحتاج حفظ؟,"قليل حفظ وأكثر تطبيق",Department_Definition
هل الأمن السيبراني يحتاج حفظ؟,"فهم عملي أكثر من حفظ",Department_Definition

أي قسم يعتمد أكثر على المشاريع؟,"العمارة والتصميم الرقمي",Study_Type
أي قسم يعتمد أكثر على الامتحانات؟,"الذكاء الاصطناعي والأمن السيبراني",Study_Type
شنو المواد الأساسية في الذكاء الاصطناعي؟,برمجة، تعلم الآلة، تحليل البيانات,Key_Courses
شنو المواد المهمة في الأمن السيبراني؟,شبكات، حماية المعلومات، تحليل الهجمات,Key_Courses
شنو المواد المهمة في العمارة؟,تصميم معماري، رسم هندسي، مشاريع ميدانية,Key_Courses
شنو المواد المهمة في الحوسبة المتنقلة؟,برمجة التطبيقات، تطوير الواجهات، قواعد البيانات,Key_Courses
شنو المواد المهمة في التصميم الرقمي؟,تصميم واجهات المستخدم، تجربة المستخدم، رسومات رقمية,Key_Courses
شلون أقدر أطور نفسي في الذكاء الاصطناعي؟,شارك بمشاريع عملية وتعلم Python ومكتبات الذكاء الاصطناعي,Student_Role
شلون أقدر أطور نفسي في الأمن السيبراني؟,شارك بتحديات سيبرانية وتعلم الشبكات,Student_Role
شلون أقدر أطور نفسي في العمارة؟,شارك بمشاريع تصميمية وتدرب على الرسم الهندسي,Student_Role
شلون أقدر أطور نفسي في الحوسبة المتنقلة؟,طور تطبيقات عملية وصمم واجهات استخدام,Student_Role
شلون أقدر أطور نفسي في التصميم الرقمي؟,صمم مشاريع رقمية وحسن تجربة المستخدم,Student_Role
شنو الهوايات المناسبة للذكاء الاصطناعي؟,حل الألغاز، الرياضيات، ألعاب ذكية,Suitable_Hobbies
شنو الهوايات المناسبة للأمن السيبراني؟,الألعاب الإلكترونية الاستراتيجية، حل المشكلات,Suitable_Hobbies
شنو الهوايات المناسبة للعمارة؟,الرسم، التصميم، زيارة الأبنية التاريخية,Suitable_Hobbies
شنو الهوايات المناسبة للحوسبة المتنقلة؟,برمجة التطبيقات، الألعاب الإلكترونية, Suitable_Hobbies
شنو الهوايات المناسبة للتصميم الرقمي؟,الرسم الرقمي، تصميم المواقع, Suitable_Hobbies
هل أحتاج خبرة للذكاء الاصطناعي؟,لا، لكن يفضل معرفة أساسية بالبرمجة,Department_Definition
هل أحتاج خبرة للأمن السيبراني؟,لا، لكن يفضل معرفة بالشبكات والبرمجة,Department_Definition
هل أحتاج خبرة للعمارة؟,لا، لكن يفضل مهارات أساسية بالرسم والتصميم,Department_Definition
هل أحتاج خبرة للحوسبة المتنقلة؟,لا، لكن يفضل معرفة بالبرمجة,Department_Definition
هل أحتاج خبرة للتصميم الرقمي؟,لا، لكن يفضل معرفة بأدوات التصميم,Department_Definition
كم سنة دراسة الذكاء الاصطناعي؟,4 سنوات,Study_Duration_Years
كم سنة دراسة الأمن السيبراني؟,4 سنوات,Study_Duration_Years
كم سنة دراسة العمارة؟,5 سنوات,Study_Duration_Years
كم سنة دراسة الحوسبة المتنقلة؟,4 سنوات,Study_Duration_Years
كم سنة دراسة التصميم الرقمي؟,4 سنوات,Study_Duration_Years
شنو الحد الأدنى لمعدل الذكاء الاصطناعي؟,61,Min_GPA
شنو الحد الأدنى لمعدل الأمن السيبراني؟,61,Min_GPA
شنو الحد الأدنى لمعدل العمارة؟,69,Min_GPA
شنو الحد الأدنى لمعدل الحوسبة المتنقلة؟,61,Min_GPA
شنو الحد الأدنى لمعدل التصميم الرقمي؟,61,Min_GPA
شكد القسط في الذكاء الاصطناعي إذا المعدل 90؟,القسط 2 مليون,Fee_Above_85
شكد القسط في الذكاء الاصباصي إذا المعدل 70؟,القسط 2.5 مليون,Fee_Below_85
شكد القسط في العمارة إذا المعدل 90؟,القسط 3 مليون,Fee_Above_85
شكد القسط في العمارة إذا المعدل 70؟,القسط 3.5 مليون,Fee_Below_85
شكد القسط في الأمن السيبراني إذا المعدل 90؟,القسط 2 مليون,Fee_Above_85
شكد القسط في الأمن السيبراني إذا المعدل 70؟,القسط 2.5 مليون,Fee_Below_85
شكد القسط في الحوسبة المتنقلة إذا المعدل 90؟,القسط 2 مليون,Fee_Above_85
شكد القسط في الحوسبة المتنقلة إذا المعدل 70؟,القسط 2.5 مليون,Fee_Below_85
شكد القسط في التصميم الرقمي إذا المعدل 90؟,القسط 2 مليون,Fee_Above_85
شكد القسط في التصميم الرقمي إذا المعدل 70؟,القسط 2.5 مليون,Fee_Below_85
وين أقدر أشتغل بعد التخرج من الذكاء الاصطناعي؟,شركات التكنولوجيا، شركات الذكاء الاصطناعي، البنوك,Simple_Example
وين أقدر أشتغل بعد التخرج من الأمن السيبراني؟,شركات الأمن، البنوك، مؤسسات حكومية,Simple_Example
وين أقدر أشتغل بعد التخرج من العمارة؟,مكاتب التصميم، شركات البناء، مشاريع حكومية,Simple_Example
وين أقدر أشتغل بعد التخرج من الحوسبة المتنقلة؟,شركات البرمجة، شركات التطبيقات، تطوير مستقل,Simple_Example
وين أقدر أشتغل بعد التخرج من التصميم الرقمي؟,شركات التصميم، استوديوهات التطبيقات، العمل الحر,Simple_Example
شنو الفرق بين الذكاء الاصطناعي والأمن السيبراني؟,الذكاء الصناعي يعلم الكمبيوتر التفكير، أما الأمن السيبراني يحمي البيانات,Department_Definition
أي الأقسام يحتاج برمجة أكثر؟,الذكاء الاصطناعي والحوسبة المتنقلة,Key_Courses
أي قسم عملي أكثر؟,العمارة والتصميم الرقمي,Study_Type
هل تخصص الذكاء الاصطناعي مطلوب في العراق؟,"نعم، مع التوجه نحو التحول الرقمي تزايد الطلب على مطوري الأنظمة الذكية",Department_Definition
شنو الفرق بين هندسة الذكاء الاصطناعي وعلوم الحاسبات؟,"الهندسة تركز على بناء الأنظمة التطبيقية والذكاء، العلوم تركز على النظريات والأسس",Department_Definition
